Use.bias Bias Pop.size Elite.prop Tourny.size Standardized.fitness Adjusted.fitness Hits
true 0.250000 1024 0.000000 3 67.83253 0.014528016 104
true 0.250000 1024 0.000000 5 151.7601 0.006546212 40
true 0.250000 1024 0.000000 7 29.769272 0.032499958 503
true 0.250000 10240 0.010000 2 26.494036 0.036371525 548
true 0.250000 10240 0.010000 3 68.9187 0.014302325 198
true 0.250000 10240 0.010000 5 25.021076 0.038430385 580
true 0.250000 10240 0.010000 7 18.379665 0.05160048 570
true 0.250000 1024 0.010000 2 157.39853 0.00631319 37
true 0.250000 1024 0.010000 3 29.115742 0.033205226 448
true 0.250000 1024 0.010000 5 220.21304 0.004520529 156
true 0.250000 1024 0.010000 7 25.73094 0.037409835 579
true 0.500000 10240 0.000000 2 0.0 1.0 676
true 0.500000 10240 0.000000 3 21.319305 0.04480426 564
true 0.500000 10240 0.000000 5 26.114176 0.036881078 584
true 0.500000 10240 0.000000 7 0.0 1.0 676
true 0.500000 1024 0.000000 2 261.37506 0.0038113378 100
true 0.500000 1024 0.000000 3 23.331894 0.041098323 508
true 0.500000 1024 0.000000 5 233.9813 0.004255658 125
true 0.500000 1024 0.000000 7 41.245647 0.023671078 478
true 0.500000 10240 0.010000 2 0.0 1.0 676
true 0.500000 10240 0.010000 3 66.501076 0.014814579 82
true 0.500000 10240 0.010000 5 0.0 1.0 676
true 0.500000 10240 0.010000 7 0.0 1.0 676
true 0.500000 1024 0.010000 2 136.66794 0.0072638555 44
true 0.500000 1024 0.010000 3 65.71716 0.014988647 61
true 0.500000 1024 0.010000 5 25.841616 0.03725558 584
true 0.500000 1024 0.010000 7 251.8889 0.003954306 102
true 0.750000 10240 0.000000 2 117.590416 0.008432385 312
true 0.750000 10240 0.000000 3 112.710815 0.008794238 328
true 0.750000 10240 0.000000 5 56.192726 0.017484741 146
true 0.750000 10240 0.000000 7 25.894735 0.037182 564
true 0.750000 1024 0.000000 2 170.48041 0.00583157 100
true 0.750000 1024 0.000000 3 72.27814 0.013646635 54
true 0.750000 1024 0.000000 5 254.46587 0.0039144172 86
true 0.750000 1024 0.000000 7 261.98407 0.0038025116 84
true 0.750000 10240 0.010000 2 69.42098 0.014200313 196
true 0.750000 10240 0.010000 3 23.394674 0.040992554 576
true 0.750000 10240 0.010000 5 0.0 1.0 676
true 0.750000 10240 0.010000 7 34.130768 0.028465077 210
true 0.750000 1024 0.010000 2 118.090416 0.008396981 312
true 0.750000 1024 0.010000 3 260.98407 0.003817026 85
true 0.750000 1024 0.010000 5 185.75673 0.0053545595 117
true 0.750000 1024 0.010000 7 86.45966 0.011433843 20
true 1.000000 10240 0.000000 2 0.0 1.0 676
true 1.000000 10240 0.000000 3 27.693321 0.034851316 550
true 1.000000 10240 0.000000 5 66.50801 0.014813057 94
true 1.000000 10240 0.000000 7 25.15928 0.03822735 592
true 1.000000 1024 0.000000 2 33.108578 0.029318139 504
true 1.000000 1024 0.000000 3 26.811657 0.035956144 536
true 1.000000 1024 0.000000 5 21.831894 0.043798383 512
true 1.000000 1024 0.000000 7 21.893768 0.04368001 522
true 1.000000 10240 0.010000 2 97.92509 0.010108659 261
true 1.000000 10240 0.010000 3 0.0 1.0 676
true 1.000000 10240 0.010000 5 0.0 1.0 676
true 1.000000 10240 0.010000 7 25.431374 0.037833825 588
true 1.000000 1024 0.010000 2 30.43248 0.031814225 502
true 1.000000 1024 0.010000 3 249.18083 0.003997109 112
true 1.000000 1024 0.010000 5 239.04637 0.0041658618 114
true 1.000000 1024 0.010000 7 0.0 1.0 676
false 1.000000 10240 0.000000 2 107.55727 0.009211728 0
false 1.000000 10240 0.000000 3 87.037674 0.011358773 40
false 1.000000 10240 0.000000 5 0.0 1.0 676
