Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
49	true	1.4597529	0.40654486	16
50	true	1.4597529	0.40654486	16
0	false	24.750034	0.0388349	2
1	false	24.750034	0.0388349	2
2	false	23.42675	0.040938724	1
3	false	23.42675	0.040938724	1
4	false	24.025303	0.039959557	1
5	false	22.264906	0.042983197	1
6	false	21.981836	0.043512624	1
7	false	21.925934	0.043618724	4
8	false	21.802773	0.043854315	2
9	false	21.578117	0.044290673	1
10	false	19.492767	0.048797704	1
11	false	18.211893	0.05205109	1
12	false	18.514837	0.05124306	0
13	false	17.844204	0.053066716	1
14	false	17.833668	0.053096402	1
15	false	16.023378	0.058742747	3
16	false	15.235363	0.061593942	1
17	false	15.066605	0.062240906	4
18	false	12.564486	0.07372192	1
19	false	12.564486	0.07372192	1
20	false	11.784584	0.078219205	3
21	false	11.687523	0.07881759	1
22	false	11.349499	0.080974944	3
23	false	10.625233	0.086019784	1
24	false	10.625233	0.086019784	1
25	false	9.945445	0.09136221	3
26	false	9.636539	0.09401554	1
27	false	9.628825	0.09408378	5
28	false	9.568465	0.09462112	1
29	false	9.534815	0.094923355	5
30	false	8.917466	0.10083221	3
31	false	8.618427	0.1039671	3
32	false	7.1722026	0.122366026	5
33	false	7.1722026	0.122366026	5
34	false	7.7282724	0.11457021	3
35	false	7.549747	0.11696252	3
36	false	7.549747	0.11696252	3
37	false	7.549747	0.11696252	3
38	false	7.3886375	0.11920887	3
39	false	7.3478785	0.11979091	4
40	false	7.171501	0.12237654	7
41	false	7.171501	0.12237654	7
42	false	7.0240693	0.12462505	5
43	false	6.463501	0.13398539	5
44	false	6.308418	0.13682853	5
45	false	5.8925896	0.14508335	7
46	false	5.8925896	0.14508335	7
47	false	5.8282137	0.14645119	7
48	false	5.1585565	0.16237572	6
49	false	4.8764615	0.17017043	4
50	false	4.805358	0.17225467	4
0	true	24.17763	0.039717797	2
1	true	23.949339	0.04008122	0
2	true	23.725672	0.040443797	1
3	true	21.420135	0.044602763	0
4	true	18.432198	0.051460985	2
5	true	15.607985	0.060212	4
6	true	15.37972	0.061051108	3
7	true	15.921435	0.059096638	2
8	true	14.2325115	0.065649055	3
9	true	13.783436	0.06764328	6
10	true	9.162717	0.09839889	3
11	true	9.162717	0.09839889	3
12	true	9.162717	0.09839889	3
13	true	9.0401125	0.09960048	2
14	true	8.954289	0.1004592	3
15	true	7.007626	0.12488096	4
16	true	7.007626	0.12488096	4
17	true	6.7454276	0.12910843	5
18	true	6.7454276	0.12910843	5
19	true	6.043925	0.14196631	5
20	true	5.8438225	0.14611718	6
21	true	5.616231	0.15114345	4
22	true	5.4717565	0.15451756	7
23	true	5.251838	0.15995295	5
24	true	4.8574867	0.17072168	4
25	true	4.759433	0.17362821	5
26	true	4.3240466	0.18782705	6
27	true	4.237985	0.19091311	7
28	true	4.218832	0.19161375	5
29	true	4.002929	0.1998829	4
30	true	4.002929	0.1998829	4
31	true	3.9946375	0.20021473	4
32	true	3.9709272	0.20116971	5
33	true	3.8435583	0.20645979	5
34	true	3.8435583	0.20645979	5
35	true	3.8435583	0.20645979	5
36	true	3.7935123	0.2086153	6
37	true	3.7523866	0.2104206	6
38	true	3.7022843	0.21266259	5
39	true	3.7022843	0.21266259	5
40	true	3.6509023	0.21501204	6
41	true	3.5085797	0.22179934	5
42	true	3.5085797	0.22179934	5
43	true	3.4799523	0.22321667	5
44	true	3.3903377	0.22777289	7
45	true	3.3903377	0.22777289	7
46	true	3.3234682	0.2312958	7
47	true	3.3234682	0.2312958	7
48	true	3.3234682	0.2312958	7
49	true	3.255437	0.2349935	8
50	true	3.2470756	0.23545614	7
0	false	25.310867	0.03800711	1
1	false	25.310867	0.03800711	1
2	false	25.310867	0.03800711	1
3	false	23.652826	0.0405633	2
4	false	23.652826	0.0405633	2
5	false	22.870918	0.041891977	1
6	false	22.870918	0.041891977	1
7	false	22.854517	0.04192078	0
8	false	20.573309	0.046353575	1
9	false	18.312134	0.051780917	2
10	false	18.312134	0.051780917	2
11	false	18.08981	0.05238397	1
12	false	17.562618	0.05387171	1
13	false	17.340025	0.054525554	2
14	false	17.18294	0.05499661	4
15	false	16.974527	0.055634286	2
16	false	16.241907	0.057998225	2
17	false	16.051416	0.058646154	4
18	false	15.930492	0.05906503	0
19	false	12.923158	0.071822785	0
20	false	9.630934	0.094065115	2
21	false	9.630934	0.094065115	2
22	false	6.59983	0.13158189	10
23	false	6.59983	0.13158189	10
24	false	5.3199143	0.15822999	6
25	false	5.3199143	0.15822999	6
26	false	5.3199143	0.15822999	6
27	false	5.3199143	0.15822999	6
28	false	4.629528	0.17763479	5
29	false	4.510709	0.18146487	3
30	false	4.5389028	0.18054117	6
31	false	4.0441575	0.19824916	5
32	false	3.5086646	0.22179516	8
33	false	3.5086646	0.22179516	8
34	false	3.2888236	0.23316418	6
35	false	3.2888236	0.23316418	6
36	false	3.0438318	0.24729021	8
37	false	3.0438318	0.24729021	8
38	false	3.0180516	0.24887684	8
39	false	2.926292	0.25469324	6
40	false	2.883137	0.25752375	7
41	false	2.7765825	0.26478967	6
42	false	2.6982615	0.27039734	6
43	false	2.6982615	0.27039734	6
44	false	2.5846798	0.27896494	5
45	false	2.543829	0.28218067	7
46	false	2.5734172	0.27984416	4
47	false	2.41901	0.29248235	14
48	false	2.41901	0.29248235	14
49	false	2.352989	0.29824138	10
50	false	2.352989	0.29824138	10
0	true	25.090927	0.0383275	2
1	true	24.650301	0.038985897	1
2	true	24.674076	0.038949795	1
3	true	24.45322	0.03928776	1
4	true	23.122171	0.041455638	2
5	true	22.93656	0.041777097	2
6	true	17.738342	0.053366512	2
7	true	17.211073	0.054911647	0
8	true	16.935875	0.05575418	3
9	true	16.758406	0.05631136	1
10	true	13.953133	0.06687562	5
11	true	13.792435	0.06760212	5
12	true	13.713205	0.067966156	6
13	true	12.176586	0.075892195	2
14	true	11.4296055	0.080453075	5
15	true	11.259495	0.08156943	4
16	true	10.6557255	0.08579475	2
17	true	10.319884	0.088340126	6
18	true	10.319884	0.088340126	6
19	true	10.124318	0.08989315	7
20	true	10.035694	0.09061505	3
21	true	9.821274	0.092410564	4
22	true	9.747767	0.09304258	4
23	true	9.196361	0.09807421	5
24	true	8.990647	0.10009362	2
25	true	8.990647	0.10009362	2
