Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
46	true	25.0	0.03846154	64
47	true	25.0	0.03846154	64
48	true	25.0	0.03846154	64
49	true	25.0	0.03846154	64
50	true	25.0	0.03846154	64
0	false	52.0	0.018867925	37
1	false	52.0	0.018867925	37
2	false	42.0	0.023255814	47
3	false	42.0	0.023255814	47
4	false	42.0	0.023255814	47
5	false	42.0	0.023255814	47
6	false	39.0	0.025	50
7	false	39.0	0.025	50
8	false	39.0	0.025	50
9	false	38.0	0.025641026	51
10	false	37.0	0.02631579	52
11	false	37.0	0.02631579	52
12	false	37.0	0.02631579	52
13	false	37.0	0.02631579	52
14	false	37.0	0.02631579	52
15	false	35.0	0.027777778	54
16	false	34.0	0.028571429	55
17	false	27.0	0.035714287	62
18	false	27.0	0.035714287	62
19	false	27.0	0.035714287	62
20	false	27.0	0.035714287	62
21	false	27.0	0.035714287	62
22	false	27.0	0.035714287	62
23	false	27.0	0.035714287	62
24	false	27.0	0.035714287	62
25	false	26.0	0.037037037	63
26	false	26.0	0.037037037	63
27	false	26.0	0.037037037	63
28	false	26.0	0.037037037	63
29	false	26.0	0.037037037	63
30	false	25.0	0.03846154	64
31	false	25.0	0.03846154	64
32	false	25.0	0.03846154	64
33	false	25.0	0.03846154	64
34	false	24.0	0.04	65
35	false	18.0	0.05263158	71
36	false	18.0	0.05263158	71
37	false	18.0	0.05263158	71
38	false	18.0	0.05263158	71
39	false	16.0	0.05882353	73
40	false	13.0	0.071428575	76
41	false	13.0	0.071428575	76
42	false	13.0	0.071428575	76
43	false	13.0	0.071428575	76
44	false	13.0	0.071428575	76
45	false	13.0	0.071428575	76
46	false	13.0	0.071428575	76
47	false	8.0	0.11111111	81
48	false	8.0	0.11111111	81
49	false	8.0	0.11111111	81
50	false	8.0	0.11111111	81
0	true	52.0	0.018867925	37
1	true	52.0	0.018867925	37
2	true	47.0	0.020833334	42
3	true	40.0	0.024390243	49
4	true	37.0	0.02631579	52
5	true	31.0	0.03125	58
6	true	31.0	0.03125	58
7	true	31.0	0.03125	58
8	true	31.0	0.03125	58
9	true	31.0	0.03125	58
10	true	31.0	0.03125	58
11	true	29.0	0.033333335	60
12	true	29.0	0.033333335	60
13	true	27.0	0.035714287	62
14	true	27.0	0.035714287	62
15	true	23.0	0.041666668	66
16	true	23.0	0.041666668	66
17	true	23.0	0.041666668	66
18	true	23.0	0.041666668	66
19	true	23.0	0.041666668	66
20	true	23.0	0.041666668	66
21	true	23.0	0.041666668	66
22	true	22.0	0.04347826	67
