Use.bias Bias Pop.size Elite.prop Tourny.size Standardized.fitness Adjusted.fitness Hits
true 0.250000 1024 0.010000 7 4.575977 0.17934078 488
true 0.500000 10240 0.000000 2 22.950447 0.041752875 196
true 0.500000 10240 0.000000 3 13.843003 0.06737181 202
true 0.500000 10240 0.000000 5 8.101143 0.10987631 404
true 0.500000 10240 0.000000 7 8.925055 0.10075511 412
true 0.500000 1024 0.000000 2 25.494823 0.037743222 256
true 0.500000 1024 0.000000 3 19.488121 0.048808772 258
true 0.500000 1024 0.000000 5 75.01163 0.013155882 64
true 0.500000 1024 0.000000 7 20.369656 0.046795327 168
true 0.500000 10240 0.010000 2 12.437071 0.07442098 272
true 0.500000 10240 0.010000 3 10.712581 0.08537828 432
true 0.500000 10240 0.010000 5 6.5989356 0.13159738 424
true 0.500000 10240 0.010000 7 6.268405 0.13758177 520
true 0.500000 1024 0.010000 2 22.578146 0.042412154 368
true 0.500000 1024 0.010000 3 18.139805 0.052247137 168
true 0.500000 1024 0.010000 5 11.19507 0.082000345 404
true 0.500000 1024 0.010000 7 26.175549 0.036797784 88
true 0.750000 10240 0.000000 2 16.47561 0.05722261 180
true 0.750000 10240 0.000000 3 9.372068 0.096412785 444
true 0.750000 10240 0.000000 5 9.764618 0.09289693 424
true 0.750000 10240 0.000000 7 10.795627 0.084777184 304
true 0.750000 1024 0.000000 2 19.902998 0.04784003 204
true 0.750000 1024 0.000000 3 42.60177 0.02293485 124
true 0.750000 1024 0.000000 5 16.81577 0.056130048 268
true 0.750000 1024 0.000000 7 48.037838 0.020392416 112
true 0.750000 10240 0.010000 2 14.947411 0.062706105 400
true 0.750000 10240 0.010000 3 3.0325785 0.2479803 616
true 0.750000 10240 0.010000 5 7.584765 0.11648543 508
true 0.750000 10240 0.010000 7 38.251244 0.025476899 108
true 0.750000 1024 0.010000 2 29.09867 0.03322406 48
true 0.750000 1024 0.010000 3 27.495092 0.035093762 112
true 0.750000 1024 0.010000 5 51.148193 0.01917612 48
true 0.750000 1024 0.010000 7 29.458256 0.03283182 104
true 1.000000 10240 0.000000 2 8.65112 0.10361492 436
true 1.000000 10240 0.000000 3 9.977636 0.09109429 356
true 1.000000 10240 0.000000 5 6.511989 0.13312054 492
true 1.000000 10240 0.000000 7 31.528477 0.030742295 296
true 1.000000 1024 0.000000 2 36.63647 0.026569972 112
true 1.000000 1024 0.000000 3 10.828354 0.08454262 340
true 1.000000 1024 0.000000 5 16.981255 0.055613473 332
true 1.000000 1024 0.000000 7 15.442224 0.06081903 244
true 1.000000 10240 0.010000 2 9.999156 0.09091607 400
true 1.000000 10240 0.010000 3 10.421393 0.08755499 316
true 1.000000 10240 0.010000 5 9.66692 0.09374778 340
true 1.000000 10240 0.010000 7 12.91991 0.07183954 424
true 1.000000 1024 0.010000 2 27.856426 0.034654327 128
true 1.000000 1024 0.010000 3 26.375273 0.036529317 104
true 1.000000 1024 0.010000 5 17.301386 0.05464067 292
true 1.000000 1024 0.010000 7 27.564974 0.03500791 120
false 1.000000 10240 0.000000 2 31.049284 0.031201944 28
false 1.000000 10240 0.000000 3 17.815207 0.0531485 284
false 1.000000 10240 0.000000 5 14.789956 0.063331395 196
false 1.000000 10240 0.000000 7 8.620071 0.10394933 408
false 1.000000 1024 0.000000 2 43.25475 0.022596445 4
false 1.000000 1024 0.000000 3 26.936483 0.035795487 164
false 1.000000 1024 0.000000 5 90.008545 0.010987979 52
false 1.000000 1024 0.000000 7 53.448353 0.018366028 56
false 1.000000 10240 0.010000 2 25.586367 0.03761326 160
false 1.000000 10240 0.010000 3 13.01148 0.07137004 272
false 1.000000 10240 0.010000 5 11.0576725 0.082934745 304
false 1.000000 10240 0.010000 7 8.944463 0.100558475 416
false 1.000000 1024 0.010000 2 31.46264 0.030804643 92
false 1.000000 1024 0.010000 3 20.180191 0.047213927 96
false 1.000000 1024 0.010000 5 34.11415 0.028478548 136
false 1.000000 1024 0.010000 7 19.033922 0.04991534 208
true 0.000000 10240 0.000000 2 39.369717 0.024771044 136
true 0.000000 10240 0.000000 3 20.25278 0.047052667 148
true 0.000000 10240 0.000000 5 13.959015 0.06684932 216
true 0.000000 10240 0.000000 7 8.202298 0.108668506 468
true 0.000000 1024 0.000000 2 50.136063 0.019555671 32
true 0.000000 1024 0.000000 3 32.33502 0.029998483 56
true 0.000000 1024 0.000000 5 35.820633 0.027158685 104
true 0.000000 1024 0.000000 7 26.181536 0.03678968 164
true 0.000000 10240 0.010000 2 21.10267 0.0452434 212
true 0.000000 10240 0.010000 3 18.723087 0.050702002 192
true 0.000000 10240 0.010000 5 10.491496 0.087020874 300
true 0.000000 10240 0.010000 7 13.427943 0.06930995 264
true 0.000000 1024 0.010000 2 38.46679 0.02533776 168
true 0.000000 1024 0.010000 3 23.58155 0.040680915 64
true 0.000000 1024 0.010000 5 21.398481 0.044645883 232
true 0.000000 1024 0.010000 7 9.505522 0.09518804 364
true 0.250000 10240 0.000000 2 28.14937 0.034306057 112
true 0.250000 10240 0.000000 3 11.666626 0.07894762 292
true 0.250000 10240 0.000000 5 10.015112 0.09078437 428
true 0.250000 10240 0.000000 7 8.4634905 0.10566925 388
true 0.250000 1024 0.000000 2 41.132355 0.023734728 64
true 0.250000 1024 0.000000 3 14.965319 0.062635764 256
true 0.250000 1024 0.000000 5 33.06434 0.029356213 68
true 0.250000 1024 0.000000 7 12.397432 0.07464117 300
true 0.250000 10240 0.010000 2 11.950514 0.07721701 244
true 0.250000 10240 0.010000 3 12.268698 0.07536535 264
true 0.250000 10240 0.010000 5 9.021066 0.09978978 368
true 0.250000 10240 0.010000 7 11.47681 0.08014869 276
true 0.250000 1024 0.010000 2 40.963314 0.02383034 88
true 0.250000 1024 0.010000 3 18.834808 0.050416417 276
true 0.250000 1024 0.010000 5 12.084472 0.07642647 200
true 0.250000 1024 0.010000 7 49.235287 0.019906325 72
true 0.500000 10240 0.000000 2 18.820383 0.05045311 72
true 0.500000 10240 0.000000 3 15.291821 0.061380494 268
true 0.500000 10240 0.000000 5 5.2040954 0.16118385 572
true 0.500000 10240 0.000000 7 10.072426 0.09031445 340
true 0.500000 1024 0.000000 2 23.453152 0.040894523 140
true 0.500000 1024 0.000000 3 23.888498 0.0401792 184
true 0.500000 1024 0.000000 5 13.19541 0.07044531 320
true 0.500000 1024 0.000000 7 22.68525 0.04222037 132
true 0.500000 10240 0.010000 2 16.677036 0.056570567 264
true 0.500000 10240 0.010000 3 11.608728 0.07931014 248
true 0.500000 10240 0.010000 5 5.248819 0.16003025 528
true 0.500000 10240 0.010000 7 11.721598 0.07860648 388
true 0.500000 1024 0.010000 2 23.408894 0.040968675 228
true 0.500000 1024 0.010000 3 34.30577 0.028323982 192
true 0.500000 1024 0.010000 5 15.885709 0.05922168 184
true 0.500000 1024 0.010000 7 67.3326 0.014634303 126
true 0.750000 10240 0.000000 2 22.140139 0.043214954 212
true 0.750000 10240 0.000000 3 12.561681 0.073737174 256
true 0.750000 10240 0.000000 5 8.634714 0.10379135 412
true 0.750000 10240 0.000000 7 5.260687 0.15972689 496
true 0.750000 1024 0.000000 2 44.27109 0.022089152 84
true 0.750000 1024 0.000000 3 20.125534 0.047336083 340
true 0.750000 1024 0.000000 5 39.732574 0.024550376 88
true 0.750000 1024 0.000000 7 25.509207 0.037722744 156
true 0.750000 10240 0.010000 2 6.778202 0.12856442 508
true 0.750000 10240 0.010000 3 11.346924 0.080991834 348
true 0.750000 10240 0.010000 5 11.173641 0.08214469 372
true 0.750000 10240 0.010000 7 5.249774 0.1600058 544
true 0.750000 1024 0.010000 2 34.726665 0.027990298 76
true 0.750000 1024 0.010000 3 50.08638 0.019574689 244
true 0.750000 1024 0.010000 5 16.529474 0.057046775 372
true 0.750000 1024 0.010000 7 11.160459 0.08223374 324
true 1.000000 10240 0.000000 2 8.105595 0.10982259 452
true 1.000000 10240 0.000000 3 10.114101 0.08997578 356
true 1.000000 10240 0.000000 5 14.213035 0.065733105 380
true 1.000000 10240 0.000000 7 39.435097 0.024730992 120
true 1.000000 1024 0.000000 2 65.781296 0.014974252 84
true 1.000000 1024 0.000000 3 71.58166 0.013777586 118
true 1.000000 1024 0.000000 5 39.499172 0.024691863 84
true 1.000000 1024 0.000000 7 20.649775 0.046189856 128
true 1.000000 10240 0.010000 2 10.454535 0.08730167 324
true 1.000000 10240 0.010000 3 9.001113 0.09998887 448
true 1.000000 10240 0.010000 5 4.641271 0.17726502 516
true 1.000000 10240 0.010000 7 17.424301 0.054276142 184
true 1.000000 1024 0.010000 2 24.111233 0.039822817 136
true 1.000000 1024 0.010000 3 21.86327 0.043738276 164
true 1.000000 1024 0.010000 5 41.03059 0.023792194 208
true 1.000000 1024 0.010000 7 62.918373 0.015644955 264
false 1.000000 10240 0.000000 2 38.76119 0.025150154 76
false 1.000000 10240 0.000000 3 14.151716 0.06599912 376
false 1.000000 10240 0.000000 5 14.798764 0.06329609 268
false 1.000000 10240 0.000000 7 3.7071815 0.21244135 576
false 1.000000 1024 0.000000 2 42.43623 0.023022257 64
false 1.000000 1024 0.000000 3 50.269436 0.019504799 88
false 1.000000 1024 0.000000 5 84.105316 0.011750148 56
false 1.000000 1024 0.000000 7 17.594484 0.05377939 220
false 1.000000 10240 0.010000 2 16.688488 0.056533944 176
false 1.000000 10240 0.010000 3 7.9811983 0.11134372 460
false 1.000000 10240 0.010000 5 16.439177 0.057342157 228
false 1.000000 10240 0.010000 7 11.598144 0.07937677 312
false 1.000000 1024 0.010000 2 46.46489 0.021068204 20
false 1.000000 1024 0.010000 3 14.43812 0.06477473 372
false 1.000000 1024 0.010000 5 18.448193 0.05141866 336
false 1.000000 1024 0.010000 7 59.081997 0.01664392 96
true 0.000000 10240 0.000000 2 34.45999 0.028200796 276
true 0.000000 10240 0.000000 3 14.834683 0.06315251 352
true 0.000000 10240 0.000000 5 4.433737 0.18403542 532
true 0.000000 10240 0.000000 7 13.817247 0.067488916 188
true 0.000000 1024 0.000000 2 41.454773 0.023554478 124
true 0.000000 1024 0.000000 3 46.3182 0.021133518 176
true 0.000000 1024 0.000000 5 17.993034 0.05265088 132
true 0.000000 1024 0.000000 7 22.904484 0.041833155 204
true 0.000000 10240 0.010000 2 17.972631 0.0527075 272
true 0.000000 10240 0.010000 3 16.121239 0.05840699 300
true 0.000000 10240 0.010000 5 7.6442585 0.11568372 440
true 0.000000 10240 0.010000 7 9.329567 0.09680948 336
true 0.000000 1024 0.010000 2 50.0517 0.019587986 98
true 0.000000 1024 0.010000 3 21.99498 0.043487754 172
true 0.000000 1024 0.010000 5 31.4897 0.030778985 148
true 0.000000 1024 0.010000 7 81.60481 0.012105832 80
true 0.250000 10240 0.000000 2 24.879549 0.03864055 140
true 0.250000 10240 0.000000 3 13.67363 0.06814946 242
true 0.250000 10240 0.000000 5 13.590643 0.06853708 172
true 0.250000 10240 0.000000 7 14.024134 0.066559575 436
true 0.250000 1024 0.000000 2 30.304062 0.031944737 128
true 0.250000 1024 0.000000 3 14.600548 0.06410031 416
true 0.250000 1024 0.000000 5 10.542209 0.08663853 388
true 0.250000 1024 0.000000 7 32.51931 0.02983355 160
true 0.250000 10240 0.010000 2 17.530321 0.053965606 160
true 0.250000 10240 0.010000 3 10.60439 0.08617428 340
true 0.250000 10240 0.010000 5 10.420489 0.08756192 324
true 0.250000 10240 0.010000 7 13.21175 0.07036431 272
true 0.250000 1024 0.010000 2 26.541922 0.03630829 124
true 0.250000 1024 0.010000 3 18.431108 0.05146387 192
true 0.250000 1024 0.010000 5 42.710087 0.022878015 200
true 0.250000 1024 0.010000 7 10.283563 0.08862449 368
true 0.500000 10240 0.000000 2 19.79093 0.048097897 224
true 0.500000 10240 0.000000 3 10.72093 0.08531746 300
true 0.500000 10240 0.000000 5 12.678633 0.07310672 224
true 0.500000 10240 0.000000 7 17.021894 0.05548806 244
true 0.500000 1024 0.000000 2 25.322603 0.037990164 136
true 0.500000 1024 0.000000 3 23.338118 0.041087814 160
true 0.500000 1024 0.000000 5 45.39826 0.021552533 144
true 0.500000 1024 0.000000 7 22.594563 0.042382646 208
true 0.500000 10240 0.010000 2 16.237566 0.058012832 216
true 0.500000 10240 0.010000 3 16.967625 0.05565566 356
true 0.500000 10240 0.010000 5 39.20257 0.02487403 132
true 0.500000 10240 0.010000 7 10.399578 0.08772255 328
true 0.500000 1024 0.010000 2 18.670443 0.050837696 232
true 0.500000 1024 0.010000 3 5.1511497 0.16257124 480
true 0.500000 1024 0.010000 5 52.224594 0.018788306 56
true 0.500000 1024 0.010000 7 18.282787 0.05185972 232
true 0.750000 10240 0.000000 2 16.26899 0.05790727 304
true 0.750000 10240 0.000000 3 9.945047 0.09136552 412
true 0.750000 10240 0.000000 5 15.065696 0.062244423 200
true 0.750000 10240 0.000000 7 13.239244 0.07022844 308
true 0.750000 1024 0.000000 2 42.27052 0.023110423 168
true 0.750000 1024 0.000000 3 15.639905 0.060096502 268
true 0.750000 1024 0.000000 5 21.9232 0.043623924 204
true 0.750000 1024 0.000000 7 71.705734 0.0137540735 72
true 0.750000 10240 0.010000 2 10.088056 0.09018714 272
true 0.750000 10240 0.010000 3 15.640272 0.060095172 268
true 0.750000 10240 0.010000 5 7.0408463 0.124365024 500
true 0.750000 10240 0.010000 7 17.502108 0.054047897 252
true 0.750000 1024 0.010000 2 20.775042 0.04592414 136
true 0.750000 1024 0.010000 3 22.835499 0.04195423 152
true 0.750000 1024 0.010000 5 52.36078 0.018740356 112
true 0.750000 1024 0.010000 7 183.24837 0.0054274565 156
true 1.000000 10240 0.000000 2 8.142097 0.10938409 472
true 1.000000 10240 0.000000 3 13.794051 0.06759474 528
true 1.000000 10240 0.000000 5 7.5897374 0.116418004 440
true 1.000000 10240 0.000000 7 6.7349906 0.12928264 468
true 1.000000 1024 0.000000 2 28.71378 0.033654418 100
true 1.000000 1024 0.000000 3 20.41594 0.046694193 144
true 1.000000 1024 0.000000 5 15.524255 0.060517106 400
true 1.000000 1024 0.000000 7 45.90265 0.021320757 184
true 1.000000 10240 0.010000 2 10.292875 0.08855141 336
true 1.000000 10240 0.010000 3 16.345955 0.057650328 328
true 1.000000 10240 0.010000 5 11.428445 0.08046059 248
true 1.000000 10240 0.010000 7 19.635717 0.048459668 128
true 1.000000 1024 0.010000 2 78.565735 0.012568224 72
true 1.000000 1024 0.010000 3 38.63951 0.025227355 164
true 1.000000 1024 0.010000 5 32.954704 0.029451 154
true 1.000000 1024 0.010000 7 16.049194 0.058653798 328
false 1.000000 10240 0.000000 2 38.43188 0.02536019 124
false 1.000000 10240 0.000000 3 18.6401 0.050916236 132
false 1.000000 10240 0.000000 5 8.998794 0.100012064 456
false 1.000000 10240 0.000000 7 6.720594 0.12952371 536
false 1.000000 1024 0.000000 2 41.549038 0.023502294 112
false 1.000000 1024 0.000000 3 17.786032 0.05323104 220
false 1.000000 1024 0.000000 5 19.888876 0.04787237 176
false 1.000000 1024 0.000000 7 24.616163 0.039037853 84
false 1.000000 10240 0.010000 2 23.093626 0.041504752 216
false 1.000000 10240 0.010000 3 9.587553 0.09445053 344
false 1.000000 10240 0.010000 5 9.748667 0.0930348 344
false 1.000000 10240 0.010000 7 8.322005 0.10727306 428
false 1.000000 1024 0.010000 2 23.660072 0.040551383 124
false 1.000000 1024 0.010000 3 9.81861 0.09243331 432
false 1.000000 1024 0.010000 5 16.400106 0.057470914 416
false 1.000000 1024 0.010000 7 10.585497 0.08631481 412
true 0.000000 10240 0.000000 2 33.921635 0.028635545 60
true 0.000000 10240 0.000000 3 15.632604 0.06012288 188
true 0.000000 10240 0.000000 5 11.735903 0.07851819 264
true 0.000000 10240 0.000000 7 11.451441 0.08031199 376
true 0.000000 1024 0.000000 2 98.73997 0.010026071 16
true 0.000000 1024 0.000000 3 23.319395 0.041119445 144
true 0.000000 1024 0.000000 5 15.94947 0.058998894 184
true 0.000000 1024 0.000000 7 92.43091 0.010703096 124
true 0.000000 10240 0.010000 2 18.622969 0.05096069 128
true 0.000000 10240 0.010000 3 16.680264 0.056560244 228
true 0.000000 10240 0.010000 5 9.69737 0.09348092 264
true 0.000000 10240 0.010000 7 14.156377 0.06597883 360
true 0.000000 1024 0.010000 2 29.501163 0.032785635 128
true 0.000000 1024 0.010000 3 68.69684 0.014347853 56
true 0.000000 1024 0.010000 5 22.978243 0.041704472 176
true 0.000000 1024 0.010000 7 33.670845 0.028842678 206
true 0.250000 10240 0.000000 2 26.56148 0.03628252 112
true 0.250000 10240 0.000000 3 12.827868 0.07231773 296
true 0.250000 10240 0.000000 5 7.4805355 0.11791708 464
true 0.250000 10240 0.000000 7 6.83115 0.12769516 472
true 0.250000 1024 0.000000 2 34.127266 0.028467914 158
true 0.250000 1024 0.000000 3 23.690601 0.04050124 196
true 0.250000 1024 0.000000 5 21.833399 0.043795496 80
true 0.250000 1024 0.000000 7 21.405695 0.04463151 152
true 0.250000 10240 0.010000 2 18.022501 0.052569322 272
true 0.250000 10240 0.010000 3 12.691747 0.0730367 288
true 0.250000 10240 0.010000 5 11.597731 0.07937938 284
true 0.250000 10240 0.010000 7 14.888456 0.06293878 236
true 0.250000 1024 0.010000 2 66.745285 0.014761175 152
true 0.250000 1024 0.010000 3 43.78489 0.02232896 72
true 0.250000 1024 0.010000 5 18.391699 0.051568456 140
true 0.250000 1024 0.010000 7 15.540236 0.060458623 292
true 0.500000 10240 0.000000 2 20.730152 0.046019007 188
true 0.500000 10240 0.000000 3 13.846464 0.0673561 336
true 0.500000 10240 0.000000 5 6.973441 0.12541637 432
true 0.500000 10240 0.000000 7 10.075637 0.09028826 496
true 0.500000 1024 0.000000 2 22.5782 0.04241206 208
true 0.500000 1024 0.000000 3 21.975859 0.043523945 128
true 0.500000 1024 0.000000 5 30.891855 0.03135597 180
true 0.500000 1024 0.000000 7 70.91101 0.013906077 48
true 0.500000 10240 0.010000 2 18.39904 0.051548943 264
true 0.500000 10240 0.010000 3 10.484208 0.0870761 340
true 0.500000 10240 0.010000 5 8.910772 0.10090031 404
true 0.500000 10240 0.010000 7 11.185017 0.082068 432
true 0.500000 1024 0.010000 2 26.453493 0.036425237 52
true 0.500000 1024 0.010000 3 30.426231 0.03182055 148
true 0.500000 1024 0.010000 5 22.625748 0.042326704 136
true 0.500000 1024 0.010000 7 83.32555 0.011858802 24
true 0.750000 10240 0.000000 2 14.4117565 0.064885534 308
true 0.750000 10240 0.000000 3 15.025127 0.062402 228
true 0.750000 10240 0.000000 5 11.310484 0.08123157 288
true 0.750000 10240 0.000000 7 9.642595 0.09396204 480
true 0.750000 1024 0.000000 2 17.43223 0.054252796 304
true 0.750000 1024 0.000000 3 22.801483 0.04201419 204
true 0.750000 1024 0.000000 5 20.820583 0.04582829 192
true 0.750000 1024 0.000000 7 21.639067 0.044171434 84
true 0.750000 10240 0.010000 2 22.296444 0.042925008 160
true 0.750000 10240 0.010000 3 7.307637 0.12037117 484
true 0.750000 10240 0.010000 5 12.088661 0.07640201 404
true 0.750000 10240 0.010000 7 11.333252 0.081081614 428
true 0.750000 1024 0.010000 2 15.873235 0.05926546 268
