Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
48	false	5.321471	0.15819103	8
49	false	5.2426524	0.16018832	8
50	false	5.2426524	0.16018832	8
0	false	25.590551	0.037607342	0
1	false	25.590551	0.037607342	0
2	false	24.174314	0.039723027	1
3	false	24.174314	0.039723027	1
4	false	23.832083	0.040270485	2
5	false	23.668364	0.040537752	2
6	false	20.837355	0.045793094	1
7	false	20.837355	0.045793094	1
8	false	20.437546	0.04664713	2
9	false	21.37889	0.04468497	1
10	false	20.143131	0.047296684	1
11	false	19.96762	0.047692582	2
12	false	19.451632	0.048895855	1
13	false	16.995678	0.0555689	2
14	false	16.995678	0.0555689	2
15	false	16.9526	0.055702236	3
16	false	16.680607	0.056559145	1
17	false	16.792229	0.056204315	2
18	false	16.333965	0.057690203	1
19	false	15.196556	0.06174152	2
20	false	14.99904	0.062503755	1
21	false	14.778934	0.06337564	3
22	false	13.743813	0.067825064	1
23	false	13.355029	0.069662	2
24	false	11.977155	0.077058494	2
25	false	11.465142	0.08022372	1
26	false	9.54533	0.0948287	2
27	false	9.54533	0.0948287	2
28	false	9.515112	0.09510122	1
29	false	9.005012	0.09994991	2
30	false	8.698245	0.10311144	4
31	false	8.592818	0.10424465	4
32	false	8.274474	0.10782283	2
33	false	7.9001107	0.11235816	1
34	false	7.7272196	0.11458403	3
35	false	6.2819805	0.13732527	3
36	false	4.9636617	0.16768222	4
37	false	4.9636617	0.16768222	4
38	false	4.9636617	0.16768222	4
39	false	4.6992764	0.17546088	3
40	false	4.640578	0.1772868	5
41	false	4.261796	0.19004917	4
42	false	4.0982428	0.19614601	10
43	false	3.9356775	0.20260642	4
44	false	3.9356775	0.20260642	4
45	false	3.9356775	0.20260642	4
46	false	3.8128123	0.20777872	5
47	false	3.6496549	0.21506973	7
48	false	3.6496549	0.21506973	7
49	false	3.61055	0.21689387	7
50	false	3.61055	0.21689387	7
0	false	24.542824	0.03914994	0
1	false	24.342438	0.039459504	0
2	false	24.227573	0.039639167	0
3	false	23.967108	0.040052697	2
4	false	23.407835	0.040970452	0
5	false	23.330286	0.04110104	0
6	false	18.060503	0.05246451	1
7	false	21.070242	0.04530988	1
8	false	20.519762	0.046468914	2
9	false	20.513382	0.046482697	1
10	false	20.393393	0.046743404	2
11	false	20.3802	0.04677225	2
12	false	16.65424	0.056643616	0
13	false	16.65424	0.056643616	0
14	false	16.65424	0.056643616	0
15	false	16.65424	0.056643616	0
16	false	16.65424	0.056643616	0
